File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
66ffab87-0426-41eb-967e-dd0ef94c8add	5e047d9d-4d87-409b-a52f-83fa7e5c7d6a_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	HCMI-CMDC	HCM-BROD-0332-C43	HCM-BROD-0332-C43-10A	Blood Derived Normal
59c2a703-ea18-496d-84ba-33842fdff715	a8eb1adc-2ae7-423f-9c86-2a4ac6cf7c23_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	HCMI-CMDC	HCM-BROD-0557-C43	HCM-BROD-0557-C43-06A	Metastatic
ea1150e0-7c3b-4a72-aa80-b144d8d11ca2	b95fb706-4a05-41cb-bfd0-fa46afaef8d9_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	HCMI-CMDC	HCM-BROD-0557-C43	HCM-BROD-0557-C43-85M	Next Generation Cancer Model
a523d649-eb70-4948-94d4-b62c2d3fe092	665797b6-021d-4cf4-8be5-138db70b1211_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-DA-A3F5	TCGA-DA-A3F5-10A	Blood Derived Normal
b0890bae-c783-4752-bf01-33b7810ce8d3	c96762c7-78d0-49b8-a731-23b9158a0f5f_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A3J5	TCGA-EE-A3J5-10A	Blood Derived Normal
7237fc58-5916-4172-b08a-ae8463b9809b	f8fa24d5-db63-4545-bcdd-55b50e01bc3e_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-DA-A1I5	TCGA-DA-A1I5-06A	Metastatic
79202a41-bc76-4770-a8d9-247d5dc8c2dd	b4c34c6e-b437-4ae6-b1e1-344c6a9c660a_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A2ME	TCGA-EE-A2ME-06A	Metastatic
109ac0b4-c650-4c58-b4e2-7d907950d7ad	332d373a-a849-4b7e-854a-38dc56dc627d_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A29D	TCGA-EE-A29D-06A	Metastatic
00d726ea-bff2-46c0-b918-883173f9a60e	ce3b3b8e-f249-4dde-89f2-df62b327eb65_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EB-A42Y	TCGA-EB-A42Y-01A	Primary Tumor
ebcee8b9-fd07-41d9-9071-ce7a2040e4e7	4ce82b85-930e-4789-a0fd-112777904e68_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-GN-A269	TCGA-GN-A269-01A	Primary Tumor
61de6d42-d41b-4189-aa61-4a9980ac6a22	fbd2908c-3eb1-41f4-9ab8-28614255431f_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EB-A42Y	TCGA-EB-A42Y-10A	Blood Derived Normal
9e608c61-393a-4564-bb78-8425e485aef4	c9b5b1f1-3cf7-4b93-8819-cd3d626bb6d0_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-ER-A19K	TCGA-ER-A19K-10A	Blood Derived Normal
427b0025-8f9e-4773-a79c-5ef7f50faaba	ab390594-05f0-4b2f-ad4d-cd680f6cb7fb_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FS-A1ZY	TCGA-FS-A1ZY-06A	Metastatic
506e858d-2460-43ed-8eb2-d9425c7caf26	09813947-8bfd-48a8-b0c9-e2fd7699beba_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FS-A1ZT	TCGA-FS-A1ZT-10A	Blood Derived Normal
466024ab-c5ab-472d-9d57-aef7db722a73	b2d7e50b-8eea-47f9-b38e-cd37ef6a8be6_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-D3-A5GT	TCGA-D3-A5GT-10A	Blood Derived Normal
3889a298-d93f-45c4-9052-6a80a332d946	65c5fdd8-86e3-4aca-9dfb-46cdf39e49bc_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-HR-A2OG	TCGA-HR-A2OG-10A	Blood Derived Normal
684fa165-df05-472a-8f60-05e275da9536	7ed57f3a-334b-465c-a179-632f84fcd10e_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-HR-A2OG	TCGA-HR-A2OG-06A	Metastatic
40868334-0a78-4ed1-8c2b-30e51a7e10bf	a6a5cebf-fbb3-4228-b776-b3b792d0574b_wgs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FS-A1ZH	TCGA-FS-A1ZH-06A	Metastatic
